Iteration,Average Joules
1,368.09416175
2,355.47947675
3,272.84252925
4,285.23193349999997
5,352.39761350000003
6,243.62713625
7,45.63653575
8,49.13850425
9,54.237137
10,57.3161165
11,42.686248750000004
12,42.42127975
13,42.8843385
14,146.25148025
15,41.284149
16,68.72460925
17,46.889206
18,46.46690375
19,41.52285775
20,43.2191775
21,40.26350375
22,40.769546500000004
23,82.38706975
24,45.34553525
25,40.795395
26,48.01971425
27,86.936722
28,40.086608749999996
29,47.26956175
30,61.700973499999996
