,Cumulative Package Energy_0 (Joules)
Architecture,mono
#,
1,302.7049715
2,301.62358075
3,780.7482755
4,339.76976025
5,458.91633625
6,540.90653975
7,426.96807850000005
8,325.641617
9,289.22465525
10,305.44699099999997
11,303.12562549999996
12,348.37568650000003
13,303.7899475
14,322.149933
15,326.5221405
16,455.190689
17,425.84590125
18,313.71658325
19,295.81370525
20,446.118408
21,336.93910225
22,288.8135225
23,310.171814
24,380.3951265
25,416.479477
26,475.8032075
27,483.040222
28,325.28880325
29,301.3409425
30,292.5974885
