Iteration,Architecture,ScenarioPath,Average_CPU,refined
1,micro,1,1.3729875,True
1,micro,2,1.3729875000000002,True
1,micro,3,1.3729875,True
1,mono,1,1.3729875,True
1,mono,2,1.3729875,True
1,mono,3,1.3729875,True
2,micro,1,1.4739458333333333,True
2,micro,2,1.4739458333333335,True
2,micro,3,1.4739458333333333,True
2,mono,1,1.4739458333333333,True
2,mono,2,1.4739458333333333,True
2,mono,3,1.4739458333333333,True
3,micro,1,1.4214729166666669,True
3,micro,2,1.4214729166666669,True
3,micro,3,1.4214729166666669,True
3,mono,1,1.4214729166666669,True
3,mono,2,1.4214729166666669,True
3,mono,3,1.4214729166666669,True
4,micro,1,1.441175,True
4,micro,2,1.441175,True
4,micro,3,1.4411749999999999,True
4,mono,1,1.4411749999999999,True
4,mono,2,1.441175,True
4,mono,3,1.441175,True
5,micro,1,1.4031624999999999,True
5,micro,2,1.4031625,True
5,micro,3,1.4031625,True
5,mono,1,1.4031624999999999,True
5,mono,2,1.4031624999999999,True
5,mono,3,1.4031624999999999,True
6,micro,1,1.44894375,True
6,micro,2,1.44894375,True
6,micro,3,1.44894375,True
6,mono,1,1.44894375,True
6,mono,2,1.44894375,True
6,mono,3,1.4489437500000002,True
7,micro,1,1.4368520833333331,True
7,micro,2,1.4368520833333334,True
7,micro,3,1.4368520833333334,True
7,mono,1,1.4368520833333334,True
7,mono,2,1.4368520833333334,True
7,mono,3,1.4368520833333331,True
8,micro,1,1.4084416666666668,True
8,micro,2,1.4084416666666666,True
8,micro,3,1.4084416666666666,True
8,mono,1,1.4084416666666666,True
8,mono,2,1.4084416666666668,True
8,mono,3,1.4084416666666668,True
9,micro,1,1.39290625,True
9,micro,2,1.39290625,True
9,micro,3,1.3929062499999998,True
9,mono,1,1.39290625,True
9,mono,2,1.39290625,True
9,mono,3,1.39290625,True
10,micro,1,1.4129687499999999,True
10,micro,2,1.4129687499999999,True
10,micro,3,1.4129687499999999,True
10,mono,1,1.41296875,True
10,mono,2,1.41296875,True
10,mono,3,1.4129687499999999,True
11,micro,1,1.4110645833333335,True
11,micro,2,1.4110645833333333,True
11,micro,3,1.4110645833333335,True
11,mono,1,1.4110645833333335,True
11,mono,2,1.4110645833333335,True
11,mono,3,1.4110645833333333,True
12,micro,1,1.3716,True
12,micro,2,1.3716,True
12,micro,3,1.3716000000000002,True
12,mono,1,1.3716,True
12,mono,2,1.3716,True
12,mono,3,1.3716000000000002,True
13,micro,1,1.4272500000000001,True
13,micro,2,1.4272500000000001,True
13,micro,3,1.4272500000000001,True
13,mono,1,1.4272500000000001,True
13,mono,2,1.4272500000000001,True
13,mono,3,1.4272500000000001,True
14,micro,1,1.3937645833333332,True
14,micro,2,1.3937645833333332,True
14,micro,3,1.3937645833333332,True
14,mono,1,1.3937645833333332,True
14,mono,2,1.3937645833333332,True
14,mono,3,1.3937645833333332,True
15,micro,1,1.4122979166666667,True
15,micro,2,1.4122979166666667,True
15,micro,3,1.4122979166666667,True
15,mono,1,1.4122979166666667,True
15,mono,2,1.4122979166666667,True
15,mono,3,1.4122979166666667,True
16,micro,1,1.4186395833333334,True
16,micro,2,1.4186395833333332,True
16,micro,3,1.4186395833333332,True
16,mono,1,1.4186395833333334,True
16,mono,2,1.4186395833333332,True
16,mono,3,1.4186395833333334,True
17,micro,1,1.4856145833333334,True
17,micro,2,1.4856145833333334,True
17,micro,3,1.4856145833333334,True
17,mono,1,1.4856145833333334,True
17,mono,2,1.4856145833333334,True
17,mono,3,1.4856145833333334,True
18,micro,1,1.4062833333333333,True
18,micro,2,1.4062833333333333,True
18,micro,3,1.4062833333333333,True
18,mono,1,1.4062833333333333,True
18,mono,2,1.4062833333333336,True
18,mono,3,1.4062833333333336,True
19,micro,1,1.4018395833333335,True
19,micro,2,1.4018395833333335,True
19,micro,3,1.4018395833333335,True
19,mono,1,1.4018395833333335,True
19,mono,2,1.4018395833333335,True
19,mono,3,1.4018395833333335,True
20,micro,1,1.409475,True
20,micro,2,1.4094750000000003,True
20,micro,3,1.409475,True
20,mono,1,1.409475,True
20,mono,2,1.409475,True
20,mono,3,1.4094750000000003,True
21,micro,1,1.505206508135169,True
21,micro,2,1.505206508135169,True
21,micro,3,1.505206508135169,True
21,mono,1,1.505206508135169,True
21,mono,2,1.505206508135169,True
21,mono,3,1.505206508135169,True
22,micro,1,1.401357947434293,True
22,micro,2,1.4013579474342928,True
22,micro,3,1.401357947434293,True
22,mono,1,1.4013579474342928,True
22,mono,2,1.401357947434293,True
22,mono,3,1.401357947434293,True
23,micro,1,1.4363892365456823,True
23,micro,2,1.436389236545682,True
23,micro,3,1.436389236545682,True
23,mono,1,1.4363892365456823,True
23,mono,2,1.436389236545682,True
23,mono,3,1.4363892365456823,True
24,micro,1,1.369105131414268,True
24,micro,2,1.3691051314142682,True
24,micro,3,1.369105131414268,True
24,mono,1,1.369105131414268,True
24,mono,2,1.369105131414268,True
24,mono,3,1.3691051314142682,True
25,micro,1,1.4307050479766374,True
25,micro,2,1.4307050479766374,True
25,micro,3,1.4307050479766377,True
25,mono,1,1.4307050479766374,True
25,mono,2,1.4307050479766374,True
25,mono,3,1.4307050479766374,True
26,micro,1,1.5047100542344598,True
26,micro,2,1.5047100542344598,True
26,micro,3,1.50471005423446,True
26,mono,1,1.5047100542344598,True
26,mono,2,1.5047100542344598,True
26,mono,3,1.5047100542344596,True
27,micro,1,1.3943512724238631,True
27,micro,2,1.3943512724238634,True
27,micro,3,1.3943512724238631,True
27,mono,1,1.3943512724238631,True
27,mono,2,1.3943512724238631,True
27,mono,3,1.3943512724238634,True
28,micro,1,1.3947914059240718,True
28,micro,2,1.3947914059240716,True
28,micro,3,1.3947914059240718,True
28,mono,1,1.3947914059240718,True
28,mono,2,1.3947914059240718,True
28,mono,3,1.394791405924072,True
29,micro,1,1.4052649144764289,True
29,micro,2,1.4052649144764287,True
29,micro,3,1.4052649144764289,True
29,mono,1,1.4052649144764289,True
29,mono,2,1.4052649144764289,True
29,mono,3,1.4052649144764289,True
30,micro,1,1.404499374217772,True
30,micro,2,1.4044993742177723,True
30,micro,3,1.404499374217772,True
30,mono,1,1.4044993742177723,True
30,mono,2,1.4044993742177723,True
30,mono,3,1.404499374217772,True
