Iteration,Architecture,ScenarioPath,Joules
10,micro,1,676.5114674417455
10,micro,2,253.61456045753357
10,micro,3,293.98357078084484
10,mono,1,676.5114674417455
10,mono,2,253.6145604575336
10,mono,3,293.9835707808448
20,micro,1,716.8212253536145
20,micro,2,268.7261173593367
20,micro,3,311.50050454850947
20,mono,1,716.8212253536145
20,mono,2,268.7261173593367
20,mono,3,311.50050454850947
30,micro,1,660.1938280634726
30,micro,2,247.4973087363252
30,micro,3,286.8926076235176
30,mono,1,660.1938280634726
30,mono,2,247.4973087363252
30,mono,3,286.8926076235176
Min,micro,1,655.869045420074
Min,micro,2,245.87600902158783
Min,micro,3,285.0132380850156
Min,mono,1,655.869045420074
Min,mono,2,245.87600902158783
Min,mono,3,285.01323808501564
Max,micro,1,801.3202164437188
Max,micro,2,300.4035914536944
Max,micro,3,348.22022967303104
Max,mono,1,801.3202164437187
Max,mono,2,300.4035914536944
Max,mono,3,348.22022967303104
Average,micro,1,691.6193998853694
Average,micro,2,259.2783101949935
Average,micro,3,300.5488459323334
Average,mono,1,691.6193998853694
Average,mono,2,259.2783101949935
Average,mono,3,300.5488459323334
