Iteration,ScenarioPath,Average Joules
1,1,47.06900329709633
1,2,64.94939305622907
1,3,89.3029676478411
10,1,48.01478115034699
10,2,66.27068084713068
10,3,91.24621497119192
11,1,53.58331344656269
11,2,74.02899474141924
11,3,102.4937875324917
12,1,47.1355477027023
12,2,65.06928117419565
12,3,89.68657945558442
13,1,48.93118068809228
13,2,67.58337673672261
13,3,93.42667522785867
14,1,48.99484008932516
14,2,67.71726839621606
14,3,93.9697323012315
15,1,49.44255885632535
15,2,68.20911501788562
15,3,93.66421134897227
16,1,47.3309434895121
16,2,65.39482489137636
16,3,90.57010542582097
17,1,46.60844639738877
17,2,64.3363704289748
17,3,88.63538738618898
18,1,49.27236220271281
18,2,68.1094639827808
18,3,94.58108687542065
19,1,46.41138898823925
19,2,64.05155123448539
19,3,88.14318074816669
2,1,44.60681059278606
2,2,61.54027163327205
2,3,84.52512680347813
20,1,47.487107181178004
20,2,65.54501820343252
20,3,90.26764818381012
21,1,46.29386350862745
21,2,63.89927686063596
21,3,88.0109513196064
22,1,47.038616617125065
22,2,64.8829098883106
22,3,89.02016022392783
23,1,47.812359257266685
23,2,65.97319033693823
23,3,90.69551342095819
24,1,46.999616145252574
24,2,64.79706255947262
24,3,88.65243451822109
25,1,47.16899467114694
25,2,65.12264004467515
25,3,89.81611893431624
26,1,45.08438961640072
26,2,62.25205891971931
26,3,85.91529064889295
27,1,46.81517561471159
27,2,64.52647159778482
27,3,88.15499107599062
28,1,48.8051268645726
28,2,67.3274278532725
28,3,92.4354771483798
29,1,48.184029700917
29,2,66.56627364329947
29,3,92.13633592936152
3,1,48.772265949741076
3,2,67.16962692589001
3,3,91.34189360266627
30,1,47.471534727711536
30,2,65.5025846494908
30,3,90.04603137021542
4,1,47.92897427844083
4,2,66.21095434482532
4,3,91.6214813789832
5,1,47.43559508531274
5,2,65.48389475649653
5,3,90.26122050747864
6,1,46.15598675450909
6,2,63.65915580156917
6,3,87.29206608052236
7,1,45.505197930974376
7,2,62.751809582160135
7,3,85.97170645761665
8,1,46.372638233092985
8,2,63.97982173936702
8,3,87.90223045525913
9,1,47.53771875197239
9,2,65.60025222785801
9,3,90.22975577516453
